speed,direction,direction_disp,x,y
59.508,108.33,312.65,299.56,213.79
60.841,122.65,312.26,301.98,216.42
60.761,164.51,313.83,304.44,219.12
58.203,210.71,316.57,306.96,221.75
55.79,231.55,319.56,309.5,224.15
53.824,241.39,323,312.05,226.32
50.891,248.67,330.12,314.62,228.27
50.345,257.09,332.39,317.27,229.79
45.837,267.22,340.83,319.95,231.19
47.73,277.77,336.52,322.55,232.09
50.844,290.34,335.51,325.17,233.23
52.075,293.59,337.99,327.95,234.5
49.838,291.18,342.73,330.85,235.67
48.973,287.35,339.09,333.7,236.55
47.479,284.57,341.46,336.45,237.6
44.288,282.29,342.25,339.15,238.51
43.253,281.63,342.41,341.68,239.32
43.307,280.96,335.3,344.15,240.1
41.494,280.78,331.75,346.51,241.19
38.621,281.1,329.48,348.71,242.37
36.131,281.84,331.77,350.7,243.54
32.99,282.47,337.73,352.61,244.57
29.437,283.43,336.19,354.44,245.32
27.303,283.99,337.72,356.06,246.03
25.679,284.5,334.18,357.58,246.65
22.301,284.89,333.36,358.96,247.32
20.032,284.77,328.16,360.16,247.92
16.993,284.78,320.97,361.18,248.56
21.242,284.6,303.74,361.97,249.2
14.859,284.63,305.36,362.68,250.26
10.257,285.22,301.75,363.2,250.99
5.9528,286.39,300.6,363.52,251.51
6.6057,288.02,285.84,363.7,251.82
1.647,289.93,69.497,363.81,252.2
8.1344,292.64,105.38,363.84,252.11
15.299,295.48,112.41,363.71,251.64
27.401,298.6,111.39,363.36,250.79
40.103,302.63,110.88,362.76,249.26
46.397,307.29,115.05,361.91,247.01
50.855,313.06,115.98,360.73,244.49
55.605,318.97,120.05,359.39,241.74
58.481,326.36,126.67,357.72,238.86
63.518,332.63,129.68,355.63,236.04
66.407,337.7,131.51,353.19,233.11
71.14,343.08,130.99,350.55,230.12
74.908,348.03,130.31,347.75,226.9
77.728,353.87,129.61,344.85,223.47
79.17,358.61,127.2,341.87,219.88
82.313,3.7206,123.31,339,216.1
84.821,8.4241,121.65,336.29,211.97
85.675,11.863,122.29,333.62,207.64
83.56,14.785,124.55,330.87,203.29
79.851,17.251,124.96,328.03,199.16
74.422,18.824,127.28,325.28,195.24
68.175,19.8,128.17,322.58,191.68
62.008,20.46,126.39,320.05,188.47
53.672,21.24,121.53,317.84,185.47
48.09,21.666,120.47,316.16,182.73
43.643,21.887,116.18,314.7,180.24
41.079,21.644,112.07,313.54,177.89
40.296,20.88,101.62,312.61,175.61
43.352,20.044,92.007,312.13,173.24
41.716,19.71,85.126,312.04,170.64
37.284,19.447,86.527,312.25,168.15
35.054,19.704,76.172,312.38,165.91
31.571,20.487,64.573,312.89,163.87
25.488,21.236,57.875,313.7,162.16
19.456,22.781,58.857,314.51,160.86
9.3388,24.897,62.649,315.12,159.87
2.8237,27.115,57.295,315.37,159.37
3.5833,30.22,254.76,315.47,159.23
6.1896,33.298,250.23,315.41,159.43
10.545,36.42,242.76,315.28,159.78
12.267,39.993,239.41,314.99,160.34
13.907,43.706,234.84,314.62,160.98
19.472,47.641,233.04,314.14,161.66
29.278,51.535,228.9,313.44,162.59
35.927,55.401,234.19,312.28,163.92
35.814,58.746,226.81,311.02,165.67
38.175,63.317,219.94,309.55,167.23
43.048,68.344,217.97,307.79,168.7
47.949,72.558,220.42,305.76,170.29
48.648,76.622,218.06,303.57,172.16
43.41,80.871,214.65,301.27,173.96
49.712,83.242,210.19,299.13,175.44
55.541,85.187,206.91,296.55,176.94
55.06,87.2,194.45,293.58,178.45
57.837,89.078,192.35,290.38,179.27
58.607,91.05,192.19,286.99,180.01
60.514,92.792,194.7,283.55,180.76
59.567,93.893,192.67,280.04,181.68
60.905,94.267,194.56,276.55,182.46
59.466,94.805,189.3,273.01,183.38
59.693,94.818,186.97,269.49,183.96
60.322,94.253,183.84,265.94,184.39
60.714,93.227,177.13,262.33,184.63
61.989,91.465,167.98,258.69,184.45
64.48,89.442,162.73,255.05,183.68
65.274,87.317,166.51,251.36,182.53
65.92,85.054,170.53,247.55,181.61
64.284,82.538,164.78,243.65,180.96
62.568,78.048,156.54,239.93,179.95
64.982,72.195,155.19,236.48,178.46
